GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_ID,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,ON_OFF
On/Off Court,1610612737,ATL,Atlanta Hawks,1629638,"Alexander-Walker, Nickeil",On,6,213.0,-18.3,101.8,120.0,-18.2,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1628396,"Bradley, Tony",On,4,41.0,-3.5,96.3,101.3,-5.0,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1630700,"Daniels, Dyson",On,6,166.0,-22.0,101.5,121.9,-20.4,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1631243,"Gueye, Mouhamed",On,6,50.0,-29.5,91.5,123.1,-31.6,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1627741,"Hield, Buddy",On,2,13.0,-55.2,85.7,139.3,-53.6,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",On,6,214.0,-20.4,104.8,125.3,-20.5,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1630557,"Kispert, Corey",On,5,54.0,11.5,114.2,100.9,13.2,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1630228,"Kuminga, Jonathan",On,6,156.0,-17.2,100.6,119.8,-19.2,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,203468,"McCollum, CJ",On,6,192.0,-15.2,104.6,119.7,-15.2,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1642854,"Newell, Asa",On,2,11.0,40.2,115.0,70.0,45.0,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",On,6,199.0,-18.1,105.1,123.5,-18.4,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1642258,"Risacher, Zaccharie",On,3,23.0,-4.2,106.7,111.1,-4.4,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1629216,"Vincent, Gabe",On,6,93.0,-30.4,93.7,127.4,-33.7,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1630811,"Wallace, Keaton",On,3,15.0,9.3,113.3,96.9,16.5,ON
On/Off Court,1610612737,ATL,Atlanta Hawks,1629638,"Alexander-Walker, Nickeil",Off,6,75.0,-15.3,100.6,118.6,-18.0,OFF
On/Off Court,1610612737,ATL,Atlanta Hawks,1628396,"Bradley, Tony",Off,6,247.0,-19.8,104.2,124.5,-20.3,OFF
On/Off Court,1610612737,ATL,Atlanta Hawks,1630700,"Daniels, Dyson",Off,6,122.0,-11.4,102.8,118.0,-15.2,OFF
On/Off Court,1610612737,ATL,Atlanta Hawks,1631243,"Gueye, Mouhamed",Off,6,238.0,-15.0,104.8,120.4,-15.6,OFF
On/Off Court,1610612737,ATL,Atlanta Hawks,1627741,"Hield, Buddy",Off,6,275.0,-15.7,104.5,120.8,-16.3,OFF
On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",Off,6,74.0,-9.1,96.6,107.5,-10.8,OFF
