PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1630639,"Lawson, A.J.",1,7,6,Overall,1.0,4,16,0.25,0.313,0.5,2,8,0.25,0.5,2,8,0.25
203932,"Gordon, Aaron",1,3,3,Overall,1.0,12,30,0.4,0.45,0.533,9,16,0.563,0.467,3,14,0.214
1628988,"Holiday, Aaron",1,6,6,Overall,1.0,6,22,0.273,0.364,0.318,2,7,0.286,0.682,4,15,0.267
1630598,"Wiggins, Aaron",1,13,8,Overall,1.0,9,25,0.36,0.38,0.64,8,16,0.5,0.36,1,9,0.111
1641737,"Bona, Adem",1,10,5,Overall,1.0,8,16,0.5,0.5,1.0,8,16,0.5,0.0,0,0,
1642876,"Thiero, Adou",1,6,4,Overall,1.0,3,6,0.5,0.5,0.667,3,4,0.75,0.333,0,2,0.0
1642349,"Mitchell, Ajay",1,11,11,Overall,1.0,63,137,0.46,0.507,0.708,50,97,0.515,0.292,13,40,0.325
1627936,"Caruso, Alex",1,15,15,Overall,1.0,55,115,0.478,0.622,0.357,22,41,0.537,0.643,33,74,0.446
1630578,"Sengun, Alperen",1,6,6,Overall,1.0,46,99,0.465,0.47,0.919,45,91,0.495,0.081,1,8,0.125
1642873,"Williams, Amari",1,1,1,Overall,1.0,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,0,
1641708,"Thompson, Amen",1,6,6,Overall,1.0,42,86,0.488,0.5,0.907,40,78,0.513,0.093,2,8,0.25
203083,"Drummond, Andre",1,11,10,Overall,1.0,16,23,0.696,0.783,0.652,12,15,0.8,0.348,4,8,0.5
1641710,"Black, Anthony",1,7,7,Overall,1.0,20,54,0.37,0.435,0.593,13,32,0.406,0.407,7,22,0.318
1630162,"Edwards, Anthony",1,10,10,Overall,1.0,77,180,0.428,0.483,0.65,57,117,0.487,0.35,20,63,0.317
1630574,"Hukporti, Ariel",1,8,5,Overall,1.0,5,11,0.455,0.455,0.909,5,10,0.5,0.091,0,1,0.0
1642854,"Newell, Asa",1,2,1,Overall,1.0,1,2,0.5,0.5,1.0,1,2,0.5,0.0,0,0,
1641709,"Thompson, Ausar",1,14,14,Overall,1.0,49,97,0.505,0.51,0.928,48,90,0.533,0.072,1,7,0.143
1630559,"Reaves, Austin",1,6,6,Overall,1.0,37,91,0.407,0.456,0.615,28,56,0.5,0.385,9,35,0.257
1630245,"Dosunmu, Ayo",1,10,10,Overall,1.0,57,114,0.5,0.575,0.649,40,74,0.541,0.351,17,40,0.425
1631248,"Scheierman, Baylor",1,7,7,Overall,1.0,11,26,0.423,0.577,0.192,3,5,0.6,0.808,8,21,0.381
202687,"Biyombo, Bismack",1,9,4,Overall,1.0,3,7,0.429,0.429,1.0,3,7,0.429,0.0,0,0,
1630538,"Hyland, Bones",1,10,10,Overall,1.0,15,50,0.3,0.39,0.32,6,16,0.375,0.68,9,34,0.265
1627742,"Ingram, Brandon",1,5,5,Overall,1.0,19,58,0.328,0.371,0.776,14,45,0.311,0.224,5,13,0.385
1642355,"James, Bronny",1,8,5,Overall,1.0,5,10,0.5,0.6,0.4,3,4,0.75,0.6,2,6,0.333
