PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,USG_PCT,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,TS_PCT,EFG_PCT,AST,TOV,AST_PCT,AST_TO,TM_TOV_PCT,REB,OREB_PCT,DREB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PLUS_MINUS,PIE,PACE,VOLUME_SCORE,FG3A_RATE,FTA_RATE,EXPECTED_TS,TS_ABOVE_EXPECTED,TS_PCT_SCALED,TS_ABOVE_EXPECTED_SCALED,EFFICIENCY_SCORE
1631260,AJ Green,MIL,26.0,78,29.1,0.135,10.4,3.4,7.9,0.424,3.0,7.1,0.419,0.7,0.8,0.855,0.627,0.612,1.9,1.0,0.09,2.03,8.7,2.7,0.013,0.08,113.1,116.7,-3.6,-1.9,0.058,99.28,31.0,0.8987341772151898,0.10126582278481013,0.5506350669605606,0.07636493303943936,0.5857142857142856,0.739244646996291,64.7
203932,Aaron Gordon,DEN,30.0,36,27.9,0.213,16.2,5.5,11.1,0.497,1.7,4.4,0.389,3.5,4.5,0.767,0.62,0.574,2.7,1.1,0.13,2.53,6.3,5.8,0.052,0.148,124.7,112.0,12.7,7.6,0.117,99.99,46.5,0.39639639639639646,0.40540540540540543,0.6038604455978721,0.016139554402127887,0.5657142857142856,0.5389593088614459,55.5
1628988,Aaron Holiday,HOU,29.0,57,13.7,0.159,5.5,1.8,4.4,0.417,1.2,3.0,0.394,0.6,0.7,0.854,0.578,0.55,1.1,0.7,0.105,1.58,10.4,1.0,0.016,0.054,114.6,106.3,8.3,2.3,0.063,99.63,18.2,0.6818181818181818,0.15909090909090906,0.5606243303377206,0.017375669662279325,0.4457142857142855,0.5430701300543523,48.5
1630174,Aaron Nesmith,IND,26.0,45,29.7,0.19,13.8,4.7,11.4,0.414,2.3,6.2,0.379,2.0,2.5,0.829,0.554,0.517,1.9,1.4,0.091,1.37,9.0,4.2,0.034,0.102,111.1,118.4,-7.3,-4.5,0.067,103.09,42.9,0.543859649122807,0.21929824561403508,0.5697350475507946,-0.01573504755079458,0.3771428571428572,0.4329572284345148,39.9
1630598,Aaron Wiggins,OKC,27.0,65,21.8,0.194,9.4,3.6,8.2,0.431,1.5,4.2,0.356,0.8,1.1,0.736,0.538,0.521,1.7,1.2,0.11,1.35,10.7,3.1,0.028,0.101,112.8,106.7,6.2,2.7,0.082,101.47,33.8,0.5121951219512195,0.13414634146341467,0.5532448477724434,-0.015244847772443393,0.33142857142857163,0.43458743534366434,37.3
1642846,Ace Bailey,UTA,19.0,72,27.6,0.21,13.8,5.5,12.4,0.443,1.9,5.5,0.344,0.9,1.2,0.75,0.533,0.52,1.8,1.5,0.098,1.22,9.2,4.2,0.048,0.097,109.8,120.4,-10.7,-6.2,0.069,104.58,45.8,0.4435483870967742,0.0967741935483871,0.5448423892319421,-0.01184238923194203,0.31714285714285717,0.4459026412368145,36.9
1641737,Adem Bona,PHI,23.0,71,17.4,0.108,4.8,1.8,3.1,0.595,0.0,0.1,0.333,1.1,1.6,0.708,0.638,0.6,0.5,0.8,0.034,0.57,15.6,4.3,0.099,0.138,113.1,112.9,0.3,-0.1,0.069,102.35,14.8,0.03225806451612903,0.5161290322580645,0.6391400947292752,-0.0011400947292752317,0.6171428571428572,0.48149415965953707,56.3
1642349,Ajay Mitchell,OKC,23.0,57,25.8,0.21,13.6,5.0,10.4,0.485,1.1,3.1,0.347,2.5,2.8,0.87,0.585,0.536,3.6,1.4,0.194,2.54,8.6,3.3,0.027,0.093,118.2,102.5,15.6,8.8,0.116,102.48,43.1,0.2980769230769231,0.2692307692307692,0.5788607253367352,0.006139274663264804,0.4657142857142855,0.5057024086266939,48.2
201143,Al Horford,GSW,39.0,45,21.5,0.163,8.3,3.1,7.2,0.426,1.6,4.6,0.361,0.5,0.6,0.846,0.554,0.54,2.6,0.9,0.171,2.76,8.5,4.9,0.043,0.184,112.7,113.5,-0.9,-0.2,0.104,101.08,26.1,0.6388888888888888,0.08333333333333333,0.5460112584363463,0.0079887415636537,0.3771428571428572,0.5118529901903954,43.1
1627936,Alex Caruso,OKC,32.0,56,18.2,0.152,6.2,2.3,5.4,0.423,0.9,3.2,0.293,0.7,0.9,0.804,0.54,0.512,2.0,0.9,0.145,2.29,10.0,2.8,0.028,0.113,116.9,99.3,17.6,6.8,0.093,102.74,21.6,0.5925925925925926,0.16666666666666666,0.56348060560842,-0.023480605608419913,0.3371428571428572,0.4071986238442985,36.5
